id,bucket
ANS-01,M
ANS-02,M
ANS-03,M
ANS-04,P
ANS-05,M
ANS-06,M
ANS-07,N
ANS-08,N
ANS-09,N
ANS-10,N
ANS-11,N
ANS-12,N
ANS-13,P
ANS-14,P
ANS-15,P
ANS-16,P
ANS-17,P
ANS-18,P
ANS-19,P
ANS-20,P
ANS-21,P
ANS-22,P
ANS-23,P
ANS-24,N
ANS-25,P
ANS-26,D
ANS-27,D
ANS-28,P
ANS-29,P
ANS-30,P
ANS-31,P
ANS-32,P
ANS-33,P
ANS-34,P
ANS-35,D
ANS-36,P
ANS-37,P
ANS-38,P
ANS-39,P
ANS-40,P
ANS-41,P
ANS-42,D
ANS-43,D
ANS-44,D
ANS-45,D
ANS-46,P
ANS-47,N
ANS-48,N
ANS-49,N
ANS-50,N
ANS-51,N
ANS-52,N
ANS-53,N
ANS-54,N
ANS-55,N
ANS-56,N
ANS-57,P
ANS-58,P
ANS-59,N
ANS-60,N
ANS-61,P
ANS-62,N
ANS-63,P
ANS-64,N
ANS-65,N
ANS-66,D
ANS-67,D
ANS-68,D
ANS-69,P
ANS-70,N
ANS-71,P
ANS-72,P
ANS-73,P
ANS-74,D
ANS-75,D
ANS-76,P
ANS-77,N
ANS-78,N
ANS-79,N
ANS-80,N
ANS-81,N
ANS-82,N
ANS-83,N
ANS-84,N
ANS-85,N
ANS-86,N
ANS-87,N
ANS-88,N
ANS-89,N
ANS-90,N
ANS-91,N
ANS-92,N
ANS-93,N
ANS-94,N
ANS-95,N
ANS-96,P
ANS-97,N
ANS-98,D
ANS-99,D
ANS-100,D
ANS-101,D
ANS-102,D
ANS-103,D
ANS-104,D
ANS-105,D
ANS-106,M
TIN-01,M
TIN-02,M
TIN-03,D
TIN-04,N
TIN-05,N
TIN-06,N
TIN-07,N
TIN-08,N
TIN-09,N
TIN-10,N
TIN-11,N
WAG-01,D
WAG-02,M
WAG-03,N
WAG-04,N
WAG-05,N
WAG-06,N
WAG-07,D
WAG-08,P
OPS-01,D
OPS-02,P
OPS-03,P
OPS-04,P
OPS-05,D
OPS-06,P
OPS-07,D
OPS-08,P
OPS-09,D
OPS-10,D
OPS-11,P
OPS-12,D
OPS-13,D
OPS-14,P
OPS-15,D
OAI-01,M
OAI-02,D
OAI-03,D
OAI-04,D
OAI-05,D
OAI-06,D
OAI-07,D
OAI-08,P
OAI-09,P
OAI-10,P
OAI-11,P
OAI-12,P
OAI-13,P
OAI-14,D
OAI-15,P
OAI-16,P
OAI-17,P
OAI-18,N
OAI-19,N
OAI-20,N
OAI-21,N
OAI-22,N
OAI-23,N
TRA-01,M
TRA-02,D
TRA-03,D
TRA-04,D
TRA-05,D
TRA-06,D
TRA-07,N
TRA-08,P
TRA-09,D
TRA-10,P
TRA-11,P
TRA-12,D
TRA-13,D
TRA-14,D
TRA-15,P
TRA-16,D
TRA-17,P
TRA-18,P
TRA-19,P
TRA-20,P
TRA-21,P
TRA-22,P
TRA-23,P
GRA-01,M
GRA-02,D
GRA-03,D
GRA-04,D
GRA-05,P
GRA-06,P
GRA-07,P
GRA-08,P
GRA-09,P
GRA-10,P
GRA-11,P
GRA-12,P
GRA-13,P
GRA-14,P
GRA-15,D
GRA-16,D
GRA-17,D
GRA-18,D
GRA-19,D
GRA-20,D
GRA-21,D
GRA-22,D
GRA-23,D
GRA-24,D
GRA-25,D
GRA-26,P
GRA-27,D
GRA-28,D
GRA-29,P
GRA-30,N
GRA-31,N
GRA-32,N
GRA-33,N
GRA-34,D
GRA-35,P
GRA-36,D
GRA-37,P
GRA-38,P
GRA-39,P
GRA-40,P
GRA-41,P
GRA-42,D
GRA-43,N
PDM-01,M
PDM-02,D
PDM-03,D
PDM-04,D
PDM-05,D
PDM-06,D
PDM-07,P
PDM-08,P
PDM-09,P
PDM-10,P
PDM-11,P
PDM-12,P
PDM-13,P
PDM-14,P
PDM-15,D
PDM-16,D
PDM-17,D
PDM-18,D
PDM-19,P
PDM-20,P
PDM-21,P
PDM-22,P
PDM-23,D
PDM-24,P
PDM-25,P
PDM-26,P
PDM-27,P
PDM-28,D
PRA-01,P
PRA-02,P
PRA-03,P
PRA-04,N
PRA-05,N
PRA-06,N
PRA-07,D
PRA-08,D
PRA-09,D
PRA-10,D
PRA-11,D
PRA-12,D
PRA-13,D
PRA-14,D
PRA-15,D
PRA-16,P
PRA-17,P
PRA-18,P
PRA-19,P
PRA-20,P
PRA-21,P
PRA-22,N
PRA-23,N
PRA-24,P
PRA-25,N
PRA-26,N
PRA-27,N
PRA-28,P
PRA-29,N
PRA-30,P
PRA-31,D
PRA-32,D
PRA-33,N
PRA-34,N
PRA-35,N
PRA-36,N
PRA-37,N
PRA-38,N
PRA-39,N
PRA-40,P
PRA-41,N
PRA-42,P
PRA-43,N
PRA-44,P
PRA-45,N
FMC-01,M
FMC-02,D
FMC-03,P
FMC-04,D
FMC-05,P
FMC-06,N
FMC-07,N
FMC-08,D
FMC-09,P
FMC-10,N
FMC-11,N
FMC-12,N
FMC-13,N
FMC-14,N
FMC-15,N
FMC-16,P
FMC-17,P
FMC-18,D
FMC-19,P
FMC-20,P
FMC-21,P
FMC-22,D
FMC-23,N
FMC-24,N
FMC-25,N
FMC-26,N
FMC-27,N
FMC-28,N
FMC-29,N
FMC-30,N
FMC-31,N
FMC-32,D
FMC-33,P
FMC-34,N
FMC-35,N
FMC-36,N
FMC-37,P
FMC-38,P
FMC-39,P
FMC-40,P
FMC-41,P
FMC-42,P
FMC-43,P
FMC-44,P
FMC-45,P
FMC-46,P
FMC-47,P
