   1 [H  ] # CLAUDE.md
   2 [   ] 
   3 [M  ] This file provides guidance to Claude Code (claude.ai/code) when working with code in this repository.
   4 [   ] 
   5 [H  ] ## Project Overview
   6 [   ] 
   7 [D  ] Graphiti is a Python framework for building temporally-aware knowledge graphs designed for AI agents. It enables real-time incremental updates to knowledge graphs without batch recomputation, making it suitable for dynamic environments.
   8 [   ] 
   9 [D  ] Key features:
  10 [   ] 
  11 [D  ] - Bi-temporal data model with explicit tracking of event occurrence times
  12 [D  ] - Hybrid retrieval combining semantic embeddings, keyword search (BM25), and graph traversal
  13 [D  ] - Support for custom entity definitions via Pydantic models
  14 [D  ] - Integration with Neo4j and FalkorDB as graph storage backends
  15 [   ] 
  16 [H  ] ## Development Commands
  17 [   ] 
  18 [H  ] ### Main Development Commands (run from project root)
  19 [   ] 
  20 [D  ] ```bash
  21 [P  ] # Install dependencies
  22 [P  ] uv sync --extra dev
  23 [   ] 
  24 [P  ] # Format code (ruff import sorting + formatting)
  25 [P  ] make format
  26 [   ] 
  27 [P  ] # Lint code (ruff + pyright type checking)
  28 [P  ] make lint
  29 [   ] 
  30 [P  ] # Run tests
  31 [P  ] make test
  32 [   ] 
  33 [P  ] # Run all checks (format, lint, test)
  34 [P  ] make check
  35 [~  ] ```
  36 [   ] 
  37 [H  ] ### Server Development (run from server/ directory)
  38 [   ] 
  39 [P  ] ```bash
  40 [P  ] cd server/
  41 [P  ] # Install server dependencies
  42 [P  ] uv sync --extra dev
  43 [   ] 
  44 [P  ] # Run server in development mode
  45 [P  ] uvicorn graph_service.main:app --reload
  46 [   ] 
  47 [P  ] # Format, lint, test server code
  48 [P  ] make format
  49 [P  ] make lint
  50 [P  ] make test
  51 [P  ] ```
  52 [   ] 
  53 [H  ] ### MCP Server Development (run from mcp_server/ directory)
  54 [   ] 
  55 [P  ] ```bash
  56 [P  ] cd mcp_server/
  57 [P  ] # Install MCP server dependencies
  58 [P  ] uv sync
  59 [   ] 
  60 [P  ] # Run with Docker Compose
  61 [P  ] docker-compose up
  62 [~  ] ```
  63 [   ] 
