task,solved_first_10,pass_at_1_first_10,solved_all_20,pass_at_1_all_20,within_task_sample_variance
ansible_ansible-85487,0,0.0,0,0.0,0
ansible_ansible-85488,2,0.2,2,0.1,0.09473684210526316
getzep_graphiti-843,7,0.7,12,0.6,0.25263157894736843
huggingface_transformers-41412,8,0.8,17,0.85,0.13421052631578947
huggingface_transformers-41612,0,0.0,0,0.0,0
huggingface_transformers-41757,6,0.6,15,0.75,0.19736842105263158
openai_openai-agents-python-1798,2,0.2,3,0.15,0.13421052631578947
openai_openai-agents-python-1852,2,0.2,3,0.15,0.13421052631578947
openai_openai-agents-python-2014,3,0.3,7,0.35,0.2394736842105263
qodo-ai_pr-agent-1594,10,1.0,20,1.0,0
