contrast,family,task,nonmeasurable_run_count,nonmeasurable_requirements,categories,origins
K1-K0,RQ1,openai_openai-agents-python-1745,1,K1/run_1/evaluation_error,evaluation_error,measurement_pipeline
K1-K0,RQ1,opshin_opshin-118,4,K1/run_0/evaluation_error;K1/run_1/evaluation_error;K0/run_0/evaluation_error;K0/run_1/evaluation_error,evaluation_error,measurement_pipeline
K1-K0,RQ1,wagtail_wagtail-13326,2,K1/run_1/evaluation_error;K0/run_0/evaluation_error,evaluation_error,measurement_pipeline
K2-K0,RQ1,opshin_opshin-118,4,K2/run_0/evaluation_error;K2/run_1/evaluation_error;K0/run_0/evaluation_error;K0/run_1/evaluation_error,evaluation_error,measurement_pipeline
K2-K0,RQ1,wagtail_wagtail-13326,1,K0/run_0/evaluation_error,evaluation_error,measurement_pipeline
K1s-K1,RQ2,openai_openai-agents-python-1745,1,K1/run_1/evaluation_error,evaluation_error,measurement_pipeline
K1s-K1,RQ2,opshin_opshin-118,4,K1s/run_0/evaluation_error;K1s/run_1/evaluation_error;K1/run_0/evaluation_error;K1/run_1/evaluation_error,evaluation_error,measurement_pipeline
K1s-K1,RQ2,wagtail_wagtail-13237,1,K1s/run_0/evaluation_error,evaluation_error,measurement_pipeline
K1s-K1,RQ2,wagtail_wagtail-13326,3,K1s/run_0/evaluation_error;K1s/run_1/evaluation_error;K1/run_1/evaluation_error,evaluation_error,measurement_pipeline
K2s-K2,RQ2,opshin_opshin-118,3,K2s/run_1/evaluation_error;K2/run_0/evaluation_error;K2/run_1/evaluation_error,evaluation_error,measurement_pipeline
K0d-K0,RQ3,opshin_opshin-118,4,K0d/run_0/evaluation_error;K0d/run_1/evaluation_error;K0/run_0/evaluation_error;K0/run_1/evaluation_error,evaluation_error,measurement_pipeline
K0d-K0,RQ3,wagtail_wagtail-13326,2,K0d/run_1/evaluation_error;K0/run_0/evaluation_error,evaluation_error,measurement_pipeline
K1-K0d,RQ3,openai_openai-agents-python-1745,1,K1/run_1/evaluation_error,evaluation_error,measurement_pipeline
K1-K0d,RQ3,opshin_opshin-118,4,K1/run_0/evaluation_error;K1/run_1/evaluation_error;K0d/run_0/evaluation_error;K0d/run_1/evaluation_error,evaluation_error,measurement_pipeline
K1-K0d,RQ3,wagtail_wagtail-13326,2,K1/run_1/evaluation_error;K0d/run_1/evaluation_error,evaluation_error,measurement_pipeline
K2-K0d,RQ3,opshin_opshin-118,4,K2/run_0/evaluation_error;K2/run_1/evaluation_error;K0d/run_0/evaluation_error;K0d/run_1/evaluation_error,evaluation_error,measurement_pipeline
K2-K0d,RQ3,wagtail_wagtail-13326,1,K0d/run_1/evaluation_error,evaluation_error,measurement_pipeline
