contrast,family,cell_a,cell_b,n_tasks,measurable_runs_per_cell,estimator,metric,mean_a,mean_b,effect,ci_low,ci_high
K1-K0,RQ1,K1,K0,68,136,mean_effort_per_measurable_run,tokens,1053807.0514705882,732920.6764705882,320886.375,-26386.375735294117,692224.453125
K1-K0,RQ1,K1,K0,68,136,mean_effort_per_measurable_run,api_calls,32.13235294117647,26.139705882352942,5.992647058823529,-1.9264705882352942,14.786764705882353
K1-K0,RQ1,K1,K0,68,136,mean_effort_per_measurable_run,wall_seconds,279.14573529411757,229.6410294117647,49.50470588235288,12.58208639705882,87.74198529411764
K2-K0,RQ1,K2,K0,69,138,mean_effort_per_measurable_run,tokens,860610.0072463768,735402.4057971014,125207.60144927539,-130654.93605072465,438771.8380434778
K2-K0,RQ1,K2,K0,69,138,mean_effort_per_measurable_run,api_calls,28.55072463768116,26.22463768115942,2.3260869565217384,-4.275905797101449,10.094202898550725
K2-K0,RQ1,K2,K0,69,138,mean_effort_per_measurable_run,wall_seconds,240.5486231884058,229.11942028985507,11.429202898550727,-17.28396376811593,41.90057971014491
K1s-K1,RQ2,K1s,K1,67,134,mean_effort_per_measurable_run,tokens,1113497.828358209,1060189.0970149254,53308.73134328355,-376512.7688432836,480752.46473880595
K1s-K1,RQ2,K1s,K1,67,134,mean_effort_per_measurable_run,api_calls,35.30597014925373,32.208955223880594,3.097014925373138,-7.022574626865672,12.544962686567162
K1s-K1,RQ2,K1s,K1,67,134,mean_effort_per_measurable_run,wall_seconds,256.954552238806,278.87985074626863,-21.925298507462628,-63.953826492537345,22.653244402985056
K2s-K2,RQ2,K2s,K2,70,140,mean_effort_per_measurable_run,tokens,818378.0142857142,850231.9,-31853.885714285774,-351779.19232142856,274445.2744642856
K2s-K2,RQ2,K2s,K2,70,140,mean_effort_per_measurable_run,api_calls,30.62857142857143,28.3,2.328571428571429,-5.9071428571428575,10.57160714285714
K2s-K2,RQ2,K2s,K2,70,140,mean_effort_per_measurable_run,wall_seconds,247.3792142857142,239.17014285714285,8.209071428571349,-28.906119642857146,46.47307142857144
K0d-K0,RQ3,K0d,K0,69,138,mean_effort_per_measurable_run,tokens,571654.963768116,735402.4057971014,-163747.44202898548,-411674.39673913043,65370.07807971011
K0d-K0,RQ3,K0d,K0,69,138,mean_effort_per_measurable_run,api_calls,21.08695652173913,26.22463768115942,-5.137681159420293,-11.833514492753624,1.644927536231884
K0d-K0,RQ3,K0d,K0,69,138,mean_effort_per_measurable_run,wall_seconds,214.98478260869567,229.11942028985507,-14.134637681159404,-50.10460688405797,20.56580072463768
K1-K0d,RQ3,K1,K0d,68,136,mean_effort_per_measurable_run,tokens,1053807.0514705882,575655.0882352941,478151.9632352941,85535.52022058825,923193.41875
K1-K0d,RQ3,K1,K0d,68,136,mean_effort_per_measurable_run,api_calls,32.13235294117647,21.080882352941178,11.051470588235293,1.8819852941176474,21.492830882352937
K1-K0d,RQ3,K1,K0d,68,136,mean_effort_per_measurable_run,wall_seconds,279.14573529411757,215.9155882352941,63.23014705882346,24.469707720588236,104.23976654411763
K2-K0d,RQ3,K2,K0d,69,138,mean_effort_per_measurable_run,tokens,860610.0072463768,571654.963768116,288955.04347826086,49946.2365942029,566681.623731884
K2-K0d,RQ3,K2,K0d,69,138,mean_effort_per_measurable_run,api_calls,28.55072463768116,21.08695652173913,7.463768115942031,1.6447463768115944,13.84800724637681
K2-K0d,RQ3,K2,K0d,69,138,mean_effort_per_measurable_run,wall_seconds,240.5486231884058,214.98478260869567,25.56384057971013,-5.448125000000003,56.733286231884065
