config_name,model,cell,task,repetition,trajectory_path,report_path,exit_status,evaluation_status,evaluation_error,resolved_present,resolved,model_responses,tool_calls,submission_present,category,origin,measurement_status,measurable,outcome,tokens,api_calls,wall_seconds
variance-pilot-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-85487,run_0,experiments/2026-08-22_02-vplight-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_0/ansible_ansible-85487/ansible_ansible-85487.traj.json,experiments/2026-08-22_02-vplight-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_0/ansible_ansible-85487/report.json,ExecutionFailed,completed,,True,False,71,71,False,timeout,agent,measurable,True,0,2370986,71,1469.39
variance-pilot-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-85487,run_1,experiments/2026-08-22_02-vplight-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_1/ansible_ansible-85487/ansible_ansible-85487.traj.json,experiments/2026-08-22_02-vplight-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_1/ansible_ansible-85487/report.json,ExecutionFailed,completed,,True,False,58,58,False,timeout,agent,measurable,True,0,1841419,57,1471.07
variance-pilot-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-85487,run_2,experiments/2026-08-22_02-vplight-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_2/ansible_ansible-85487/ansible_ansible-85487.traj.json,experiments/2026-08-22_02-vplight-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_2/ansible_ansible-85487/report.json,ExecutionFailed,completed,,True,False,55,55,False,timeout,agent,measurable,True,0,1943282,55,1475.46
variance-pilot-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-85487,run_3,experiments/2026-08-22_02-vplight-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_3/ansible_ansible-85487/ansible_ansible-85487.traj.json,experiments/2026-08-22_02-vplight-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_3/ansible_ansible-85487/report.json,ExecutionFailed,completed,,True,False,54,54,False,timeout,agent,measurable,True,0,1612009,54,1478.34
variance-pilot-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-85487,run_4,experiments/2026-08-22_02-vplight-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_4/ansible_ansible-85487/ansible_ansible-85487.traj.json,experiments/2026-08-22_02-vplight-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_4/ansible_ansible-85487/report.json,ExecutionFailed,completed,,True,False,65,65,False,timeout,agent,measurable,True,0,2058328,65,1472.6
variance-pilot-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-85487,run_5,experiments/2026-08-22_02-vplight-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_5/ansible_ansible-85487/ansible_ansible-85487.traj.json,experiments/2026-08-22_02-vplight-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_5/ansible_ansible-85487/report.json,ExecutionFailed,completed,,True,False,48,48,False,timeout,agent,measurable,True,0,1295202,48,1487.27
variance-pilot-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-85487,run_6,experiments/2026-08-22_02-vplight-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_6/ansible_ansible-85487/ansible_ansible-85487.traj.json,experiments/2026-08-22_02-vplight-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_6/ansible_ansible-85487/report.json,ExecutionFailed,completed,,True,False,52,52,False,timeout,agent,measurable,True,0,1652517,52,1474.47
variance-pilot-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-85487,run_7,experiments/2026-08-22_02-vplight-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_7/ansible_ansible-85487/ansible_ansible-85487.traj.json,experiments/2026-08-22_02-vplight-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_7/ansible_ansible-85487/report.json,ExecutionFailed,completed,,True,False,63,63,False,timeout,agent,measurable,True,0,1896069,63,1471.14
variance-pilot-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-85487,run_8,experiments/2026-08-22_02-vplight-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_8/ansible_ansible-85487/ansible_ansible-85487.traj.json,experiments/2026-08-22_02-vplight-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_8/ansible_ansible-85487/report.json,ExecutionFailed,completed,,True,False,51,51,False,timeout,agent,measurable,True,0,1567953,51,1477.47
variance-pilot-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-85487,run_9,experiments/2026-08-22_02-vplight-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_9/ansible_ansible-85487/ansible_ansible-85487.traj.json,experiments/2026-08-22_02-vplight-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_9/ansible_ansible-85487/report.json,ExecutionFailed,completed,,True,False,80,80,False,timeout,agent,measurable,True,0,2679784,80,1467.29
variance-pilot-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-85487,run_10,experiments/2026-08-22_02-vplight-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_10/ansible_ansible-85487/ansible_ansible-85487.traj.json,experiments/2026-08-22_02-vplight-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_10/ansible_ansible-85487/report.json,ExecutionFailed,completed,,True,False,46,46,False,timeout,agent,measurable,True,0,1298094,46,1470.61
variance-pilot-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-85487,run_11,experiments/2026-08-22_02-vplight-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_11/ansible_ansible-85487/ansible_ansible-85487.traj.json,experiments/2026-08-22_02-vplight-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_11/ansible_ansible-85487/report.json,ExecutionFailed,completed,,True,False,78,78,False,timeout,agent,measurable,True,0,2472578,76,1470.52
