contrast,family,cell_a,cell_b,n_tasks,measurable_runs_per_cell,estimator,metric,mean_a,mean_b,effect,ci_low,ci_high
K1-K0,RQ1,K1,K0,68,136,mean_effort_per_measurable_run,tokens,1313923.625,1262581.5073529412,51342.117647058796,-70049.40386029411,157379.66286764704
K1-K0,RQ1,K1,K0,68,136,mean_effort_per_measurable_run,api_calls,41.30882352941177,40.31617647058823,0.9926470588235361,-1.603125,3.360294117647059
K1-K0,RQ1,K1,K0,68,136,mean_effort_per_measurable_run,wall_seconds,830.9909558823529,781.6855882352942,49.30536764705869,9.742130514705895,88.32674999999996
K2-K0,RQ1,K2,K0,69,138,mean_effort_per_measurable_run,tokens,1207449.9347826086,1283525.108695652,-76075.17391304346,-165347.3427536232,11322.984601449265
K2-K0,RQ1,K2,K0,69,138,mean_effort_per_measurable_run,api_calls,39.20289855072464,41.05072463768116,-1.8478260869565162,-4.333333333333333,0.6666666666666666
K2-K0,RQ1,K2,K0,69,138,mean_effort_per_measurable_run,wall_seconds,748.3789130434781,792.343695652174,-43.96478260869594,-77.9688097826087,-10.601632246376807
K1s-K1,RQ2,K1s,K1,69,138,mean_effort_per_measurable_run,tokens,1089517.7318840579,1302475.0072463767,-212957.27536231885,-322164.70398550725,-102502.39166666669
K1s-K1,RQ2,K1s,K1,69,138,mean_effort_per_measurable_run,api_calls,36.8768115942029,41.072463768115945,-4.195652173913047,-6.840579710144928,-1.4202898550724639
K1s-K1,RQ2,K1s,K1,69,138,mean_effort_per_measurable_run,wall_seconds,729.0484782608694,828.9640579710144,-99.91557971014504,-141.67225000000005,-58.499525362318856
K2s-K2,RQ2,K2s,K2,68,136,mean_effort_per_measurable_run,tokens,1128567.6544117648,1171992.5367647058,-43424.88235294097,-132284.26838235295,48078.36580882349
K2s-K2,RQ2,K2s,K2,68,136,mean_effort_per_measurable_run,api_calls,37.86029411764706,38.26470588235294,-0.404411764705884,-2.6470588235294117,1.8088235294117647
K2s-K2,RQ2,K2s,K2,68,136,mean_effort_per_measurable_run,wall_seconds,746.3170588235295,741.2461029411763,5.070955882353132,-31.864860294117666,42.44234926470584
K0d-K0,RQ3,K0d,K0,69,138,mean_effort_per_measurable_run,tokens,1281643.9927536233,1268864.2391304348,12779.753623188473,-114673.51920289855,146400.36992753623
K0d-K0,RQ3,K0d,K0,69,138,mean_effort_per_measurable_run,api_calls,40.68115942028985,40.80434782608695,-0.12318840579710155,-2.717391304347826,2.4565217391304346
K0d-K0,RQ3,K0d,K0,69,138,mean_effort_per_measurable_run,wall_seconds,784.5684782608696,784.1236231884058,0.44485507246383804,-36.435974637681156,39.58750905797101
K1-K0d,RQ3,K1,K0d,68,136,mean_effort_per_measurable_run,tokens,1311945.5514705882,1270758.9485294118,41186.60294117639,-120480.16966911765,179696.53253676472
K1-K0d,RQ3,K1,K0d,68,136,mean_effort_per_measurable_run,api_calls,41.26470588235294,40.11029411764706,1.154411764705884,-1.7058823529411764,3.6838235294117645
K1-K0d,RQ3,K1,K0d,68,136,mean_effort_per_measurable_run,wall_seconds,831.541838235294,781.9298529411764,49.61198529411763,9.236873161764711,88.23195588235293
K2-K0d,RQ3,K2,K0d,69,138,mean_effort_per_measurable_run,tokens,1204590.2101449275,1284890.384057971,-80300.17391304346,-195801.23043478263,29544.297101449254
K2-K0d,RQ3,K2,K0d,69,138,mean_effort_per_measurable_run,api_calls,39.13768115942029,40.55072463768116,-1.4130434782608674,-3.5869565217391304,0.8840579710144928
K2-K0d,RQ3,K2,K0d,69,138,mean_effort_per_measurable_run,wall_seconds,747.2919565217389,785.5552173913043,-38.26326086956533,-77.50900000000004,1.3868677536231897
