config_name,model,cell,task,repetition,trajectory_path,report_path,exit_status,evaluation_status,evaluation_error,resolved_present,resolved,model_responses,tool_calls,submission_present,category,origin,measurement_status,measurable,outcome,tokens,api_calls,wall_seconds
main-run-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-83217,run_0,experiments/2026-08-25_01-hauptrun-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_0/ansible_ansible-83217/ansible_ansible-83217.traj.json,experiments/2026-08-25_01-hauptrun-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_0/ansible_ansible-83217/report.json,Submitted,completed,,True,True,18,17,True,solved,agent,measurable,True,1,111053,16,344.07
main-run-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-83217,run_1,experiments/2026-08-25_01-hauptrun-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_1/ansible_ansible-83217/ansible_ansible-83217.traj.json,experiments/2026-08-25_01-hauptrun-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_1/ansible_ansible-83217/report.json,Submitted,completed,,True,True,12,11,True,solved,agent,measurable,True,1,61176,11,284.53
main-run-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-84999,run_0,experiments/2026-08-25_01-hauptrun-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_0/ansible_ansible-84999/ansible_ansible-84999.traj.json,experiments/2026-08-25_01-hauptrun-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_0/ansible_ansible-84999/report.json,ExecutionFailed,completed,,True,False,61,61,False,timeout,agent,measurable,True,0,2042711,61,1457.43
main-run-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-84999,run_1,experiments/2026-08-25_01-hauptrun-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_1/ansible_ansible-84999/ansible_ansible-84999.traj.json,experiments/2026-08-25_01-hauptrun-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_1/ansible_ansible-84999/report.json,ExecutionFailed,completed,,True,False,76,76,False,timeout,agent,measurable,True,0,2735275,76,1461.69
main-run-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-85187,run_0,experiments/2026-08-25_01-hauptrun-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_0/ansible_ansible-85187/ansible_ansible-85187.traj.json,experiments/2026-08-25_01-hauptrun-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_0/ansible_ansible-85187/report.json,Submitted,completed,,True,True,18,17,True,solved,agent,measurable,True,1,280665,17,322.22
main-run-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-85187,run_1,experiments/2026-08-25_01-hauptrun-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_1/ansible_ansible-85187/ansible_ansible-85187.traj.json,experiments/2026-08-25_01-hauptrun-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_1/ansible_ansible-85187/report.json,Submitted,completed,,True,True,16,15,True,solved,agent,measurable,True,1,280157,15,324.55
main-run-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-85488,run_0,experiments/2026-08-25_01-hauptrun-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_0/ansible_ansible-85488/ansible_ansible-85488.traj.json,experiments/2026-08-25_01-hauptrun-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_0/ansible_ansible-85488/report.json,Submitted,completed,,True,True,67,66,True,solved,agent,measurable,True,1,1842348,66,829.37
main-run-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-85488,run_1,experiments/2026-08-25_01-hauptrun-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_1/ansible_ansible-85488/ansible_ansible-85488.traj.json,experiments/2026-08-25_01-hauptrun-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_1/ansible_ansible-85488/report.json,Submitted,completed,,True,True,49,48,True,solved,agent,measurable,True,1,1181057,48,638.82
main-run-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-85516,run_0,experiments/2026-08-25_01-hauptrun-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_0/ansible_ansible-85516/ansible_ansible-85516.traj.json,experiments/2026-08-25_01-hauptrun-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_0/ansible_ansible-85516/report.json,Submitted,completed,,True,True,71,70,True,solved,agent,measurable,True,1,4947769,70,1313.92
main-run-qwen,qwen3.6-27b-t06,no_plan,ansible_ansible-85516,run_1,experiments/2026-08-25_01-hauptrun-qwen/agentbench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_1/ansible_ansible-85516/ansible_ansible-85516.traj.json,experiments/2026-08-25_01-hauptrun-qwen/swebench/eth-sri_agentbench/no_plan/pi/qwen3.6-27b-t06/run_1/ansible_ansible-85516/report.json,ExecutionFailed,completed,,True,False,90,90,False,timeout,agent,measurable,True,0,5267896,90,1470.1
